probe,model_pair,jaccard,model_a_top5,model_b_top5
run,llama-3.2-1B vs qwen3-32B,0.6667,"[""run"", ""rung"", ""runs"", ""ru"", ""runner""]","[""run"", ""runs"", ""ru"", ""runner"", ""ron""]"
run,llama-3.2-1B vs gemma-3-1B-pt,0.2500,"[""run"", ""rung"", ""runs"", ""ru"", ""runner""]","[""run"", ""rune"", ""rund"", ""runk"", ""rung""]"
run,llama-3.2-1B vs deepseek-v3-base,0.4286,"[""run"", ""rung"", ""runs"", ""ru"", ""runner""]","[""run"", ""rund"", ""ru"", ""runner"", ""ron""]"
run,llama-3.2-1B vs gpt-oss-120b,0.6667,"[""run"", ""rung"", ""runs"", ""ru"", ""runner""]","[""run"", ""runs"", ""ru"", ""runde"", ""runner""]"
run,llama-3.2-1B vs smollm2-135M,0.2500,"[""run"", ""rung"", ""runs"", ""ru"", ""runner""]","[""run"", ""rund"", ""runk"", ""runc"", ""runs""]"
run,qwen3-32B vs gemma-3-1B-pt,0.1111,"[""run"", ""runs"", ""ru"", ""runner"", ""ron""]","[""run"", ""rune"", ""rund"", ""runk"", ""rung""]"
run,qwen3-32B vs deepseek-v3-base,0.6667,"[""run"", ""runs"", ""ru"", ""runner"", ""ron""]","[""run"", ""rund"", ""ru"", ""runner"", ""ron""]"
run,qwen3-32B vs gpt-oss-120b,0.6667,"[""run"", ""runs"", ""ru"", ""runner"", ""ron""]","[""run"", ""runs"", ""ru"", ""runde"", ""runner""]"
run,qwen3-32B vs smollm2-135M,0.2500,"[""run"", ""runs"", ""ru"", ""runner"", ""ron""]","[""run"", ""rund"", ""runk"", ""runc"", ""runs""]"
run,gemma-3-1B-pt vs deepseek-v3-base,0.2500,"[""run"", ""rune"", ""rund"", ""runk"", ""rung""]","[""run"", ""rund"", ""ru"", ""runner"", ""ron""]"
run,gemma-3-1B-pt vs gpt-oss-120b,0.1111,"[""run"", ""rune"", ""rund"", ""runk"", ""rung""]","[""run"", ""runs"", ""ru"", ""runde"", ""runner""]"
run,gemma-3-1B-pt vs smollm2-135M,0.4286,"[""run"", ""rune"", ""rund"", ""runk"", ""rung""]","[""run"", ""rund"", ""runk"", ""runc"", ""runs""]"
run,deepseek-v3-base vs gpt-oss-120b,0.4286,"[""run"", ""rund"", ""ru"", ""runner"", ""ron""]","[""run"", ""runs"", ""ru"", ""runde"", ""runner""]"
run,deepseek-v3-base vs smollm2-135M,0.2500,"[""run"", ""rund"", ""ru"", ""runner"", ""ron""]","[""run"", ""rund"", ""runk"", ""runc"", ""runs""]"
run,gpt-oss-120b vs smollm2-135M,0.2500,"[""run"", ""runs"", ""ru"", ""runde"", ""runner""]","[""run"", ""rund"", ""runk"", ""runc"", ""runs""]"
running,llama-3.2-1B vs qwen3-32B,0.3333,"[""running"", ""running"", ""ranking"", ""inning"", ""rending""]","[""running"", ""running"", ""rending"", ""ounding"", ""rowning""]"
running,llama-3.2-1B vs gemma-3-1B-pt,0.1429,"[""running"", ""running"", ""ranking"", ""inning"", ""rending""]","[""running"", ""running"", ""panning"", ""funding"", ""winning""]"
running,llama-3.2-1B vs deepseek-v3-base,0.3333,"[""running"", ""running"", ""ranking"", ""inning"", ""rending""]","[""running"", ""running"", ""rinnings"", ""turning"", ""ranking""]"
running,llama-3.2-1B vs gpt-oss-120b,0.3333,"[""running"", ""running"", ""ranking"", ""inning"", ""rending""]","[""running"", ""running"", ""ranking"", ""funding"", ""winning""]"
running,llama-3.2-1B vs smollm2-135M,0.1429,"[""running"", ""running"", ""ranking"", ""inning"", ""rending""]","[""running"", ""running"", ""winning"", ""turning"", ""aunting""]"
running,qwen3-32B vs gemma-3-1B-pt,0.1429,"[""running"", ""running"", ""rending"", ""ounding"", ""rowning""]","[""running"", ""running"", ""panning"", ""funding"", ""winning""]"
running,qwen3-32B vs deepseek-v3-base,0.1429,"[""running"", ""running"", ""rending"", ""ounding"", ""rowning""]","[""running"", ""running"", ""rinnings"", ""turning"", ""ranking""]"
running,qwen3-32B vs gpt-oss-120b,0.1429,"[""running"", ""running"", ""rending"", ""ounding"", ""rowning""]","[""running"", ""running"", ""ranking"", ""funding"", ""winning""]"
running,qwen3-32B vs smollm2-135M,0.1429,"[""running"", ""running"", ""rending"", ""ounding"", ""rowning""]","[""running"", ""running"", ""winning"", ""turning"", ""aunting""]"
running,gemma-3-1B-pt vs deepseek-v3-base,0.1429,"[""running"", ""running"", ""panning"", ""funding"", ""winning""]","[""running"", ""running"", ""rinnings"", ""turning"", ""ranking""]"
running,gemma-3-1B-pt vs gpt-oss-120b,0.6000,"[""running"", ""running"", ""panning"", ""funding"", ""winning""]","[""running"", ""running"", ""ranking"", ""funding"", ""winning""]"
running,gemma-3-1B-pt vs smollm2-135M,0.3333,"[""running"", ""running"", ""panning"", ""funding"", ""winning""]","[""running"", ""running"", ""winning"", ""turning"", ""aunting""]"
running,deepseek-v3-base vs gpt-oss-120b,0.3333,"[""running"", ""running"", ""rinnings"", ""turning"", ""ranking""]","[""running"", ""running"", ""ranking"", ""funding"", ""winning""]"
running,deepseek-v3-base vs smollm2-135M,0.3333,"[""running"", ""running"", ""rinnings"", ""turning"", ""ranking""]","[""running"", ""running"", ""winning"", ""turning"", ""aunting""]"
running,gpt-oss-120b vs smollm2-135M,0.3333,"[""running"", ""running"", ""ranking"", ""funding"", ""winning""]","[""running"", ""running"", ""winning"", ""turning"", ""aunting""]"
compute,llama-3.2-1B vs qwen3-32B,1.0000,"[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]","[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]"
compute,llama-3.2-1B vs gemma-3-1B-pt,0.8000,"[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]","[""compute"", ""computed"", ""computer"", ""comput"", ""computers""]"
compute,llama-3.2-1B vs deepseek-v3-base,0.7500,"[""compute"", ""computed"", ""computer"", ""comput"", ""compute""]","[""compute"", ""computer"", ""comput"", ""compute"", ""computer""]"
